pose,pose_x,pose_y,label
0,-0.955735187,7.225300908,0
0,-0.490366402,7.466031981,0
0,2.395828733,9.261195827,0
0,1.248010951,8.121985336,0
0,7.298824097,2.047624027,0
0,-0.608252246,8.176641836,0
0,4.314703056,11.5224606,0
0,11.10305248,3.494875828,0
0,4.715305459,10.30211516,0
0,1.626210132,9.50732037,0
0,-0.36542342,8.895381665,0
0,-0.430655235,7.554189317,0
0,3.393266241,6.894842925,0
0,2.104061823,8.255544578,0
0,-0.562917865,6.978682885,0
0,0.015869941,8.349357496,0
0,-2.372464125,7.432145714,0
0,2.129384679,6.3985609,0
0,1.664334909,2.662481262,0
0,0.859428924,8.276318558,0
0,-1.966772858,10.15266258,0
0,-1.082627201,8.627493382,0
0,-1.410398255,-8.530854142,1
